company,sentiment
AE01,0.657539329
AHE,0.605537739
API,0.586113929
BA06,0.602482893
BAF,0.532973752
BF04,0.562597068
BI,0.592694104
BPC,0.627799259
BTV,0.50168599
C,0.53656762
CI29,0.634212629
DL03,0.585213702
DRL,0.551040324
EM,0.534634433
GI01,0.582708855
H,0.561256894
HCL02,0.448639365
HDF01,0.574910538
HHM,0.548043816
HL,0.573234
HSL01,0.518679531
ICI02,0.540319136
IIB,0.616997401
IT,0.556380069
ITC,0.509172083
JFS,0.732303603
JVS,0.639924882
KMF,0.642070984
LI09,0.531718659
LT,0.570328506
MM,0.58350724
MPS,0.59330055
MU01,0.548679505
NI,0.539659726
NTP,0.683821626
ONG,0.641532905
PGC,0.665818585
RI,0.62739672
SBI,0.659237713
SI10,0.594329865
SLI03,0.588689867
SPI,0.522657077
TCS,0.546470687
TEL,0.519784424
TI01,0.440380997
TIS,0.592199977
TM4,0.507778395
TT,0.555793121
UTC,0.59818449
UTI10,0.561177054
W,0.60016927
